time;0;1;2;3
1;0;50;0;0
2;0;50;0;0
3;0;50;0;0
4;0;50;0;0
5;0;50;0;0
6;0;50;0;0
7;0;50;0;0
8;0;50;0;0
9;0;50;0;0
10;0;50;0;0
11;0;50;0;0
12;0;50;0;0
13;0;50;0;0
14;0;50;0;0
15;0;50;0;0
16;0;50;0;0
17;0;50;0;0
18;0;50;0;0
19;0;50;0;0
20;0;50;0;0
21;0;50;0;0
22;0;50;0;0
23;0;50;0;0
24;0;50;0;0
25;0;50;0;0
26;0;50;0;0
27;0;50;0;0
28;0;50;0;0
29;0;50;0;0
30;0;50;0;0
31;0;50;0;0
32;0;50;0;0
33;0;50;0;0
34;0;50;0;0
35;0;50;0;0
36;0;50;0;0
37;0;50;0;0
38;0;50;0;0
39;0;50;0;0
40;0;50;0;0
41;0;50;0;0
42;0;50;0;0
43;0;50;0;0
44;0;50;0;0
45;0;50;0;0
46;0;50;0;0
47;0;50;0;0
48;0;50;0;0
49;0;50;0;0
50;0;50;0;0
51;0;50;0;0
52;0;50;0;0
53;0;50;0;0
54;0;50;0;0
55;0;50;0;0
56;0;50;0;0
57;0;50;0;0
58;0;50;0;0
59;0;50;0;0
60;0;50;0;0
61;0;50;0;0
62;0;50;0;0
63;0;50;0;0
64;0;50;0;0
65;0;50;0;0
66;0;50;0;0
67;0;50;0;0
68;0;50;0;0
69;0;50;0;0
70;0;50;0;0
71;0;50;0;0
72;0;50;0;0
73;0;50;0;0
74;0;50;0;0
75;0;50;0;0
76;0;50;0;0
77;0;50;0;0
78;0;50;0;0
79;0;49;0;1
80;0;47;1;2
81;0;47;1;2
82;0;46;2;2
83;0;46;2;2
84;0;46;2;2
85;0;46;2;2
86;0;46;2;2
87;0;46;2;2
88;0;46;2;2
89;0;46;2;2
90;0;46;2;2
91;0;46;2;2
92;0;46;2;2
93;0;46;2;2
94;0;46;2;2
95;0;46;2;2
96;0;46;2;2
97;0;46;2;2
98;0;46;2;2
99;0;46;2;2
100;0;46;2;2
101;0;46;2;2
102;0;46;2;2
103;0;46;2;2
