time;0;1;2;3;4;5
1;0;50;0;0;0;0
2;0;50;0;0;0;0
3;0;50;0;0;0;0
4;0;50;0;0;0;0
5;0;50;0;0;0;0
6;0;50;0;0;0;0
7;0;50;0;0;0;0
8;0;50;0;0;0;0
9;0;50;0;0;0;0
10;0;50;0;0;0;0
11;0;50;0;0;0;0
12;0;50;0;0;0;0
13;0;50;0;0;0;0
14;0;50;0;0;0;0
15;0;50;0;0;0;0
16;0;50;0;0;0;0
17;0;50;0;0;0;0
18;0;50;0;0;0;0
19;0;50;0;0;0;0
20;0;50;0;0;0;0
21;0;50;0;0;0;0
22;0;50;0;0;0;0
23;0;50;0;0;0;0
24;0;50;0;0;0;0
25;0;50;0;0;0;0
26;0;50;0;0;0;0
27;0;50;0;0;0;0
28;0;50;0;0;0;0
29;0;50;0;0;0;0
30;0;50;0;0;0;0
31;0;50;0;0;0;0
32;0;50;0;0;0;0
33;0;50;0;0;0;0
34;0;50;0;0;0;0
35;0;50;0;0;0;0
36;0;50;0;0;0;0
37;0;50;0;0;0;0
38;0;50;0;0;0;0
39;0;50;0;0;0;0
40;0;50;0;0;0;0
41;0;50;0;0;0;0
42;0;50;0;0;0;0
43;0;50;0;0;0;0
44;0;50;0;0;0;0
45;0;50;0;0;0;0
46;0;50;0;0;0;0
47;0;50;0;0;0;0
48;0;50;0;0;0;0
49;0;50;0;0;0;0
50;0;50;0;0;0;0
51;0;50;0;0;0;0
52;0;50;0;0;0;0
53;0;50;0;0;0;0
54;0;50;0;0;0;0
55;0;50;0;0;0;0
56;0;50;0;0;0;0
57;0;50;0;0;0;0
58;0;50;0;0;0;0
59;0;50;0;0;0;0
60;0;50;0;0;0;0
61;0;50;0;0;0;0
62;0;50;0;0;0;0
63;0;50;0;0;0;0
64;0;49;0;0;0;1
65;0;49;0;0;0;1
66;0;49;0;0;0;1
67;0;49;0;0;0;1
68;0;49;0;0;0;1
69;0;49;0;0;0;1
70;0;48;0;0;1;1
71;0;48;0;0;1;1
72;0;48;0;0;1;1
73;0;48;0;0;1;1
74;0;48;0;0;1;1
75;0;48;0;0;1;1
76;0;48;0;0;1;1
77;0;48;0;0;1;1
78;0;48;0;0;1;1
79;0;48;0;0;1;1
80;0;48;0;0;1;1
81;0;48;0;0;1;1
82;0;47;1;0;1;1
83;0;47;1;0;1;1
84;0;47;1;0;1;1
85;0;47;1;0;1;1
86;0;47;1;0;1;1
87;0;47;1;0;1;1
88;0;47;1;0;1;1
89;0;47;1;0;1;1
90;0;47;1;0;1;1
91;0;46;1;0;1;2
92;0;46;1;0;1;2
93;0;46;1;0;1;2
94;0;46;1;0;1;2
95;0;46;1;0;1;2
96;0;46;1;0;1;2
97;0;46;1;0;1;2
98;0;46;1;0;1;2
99;0;46;1;0;1;2
100;0;46;1;0;1;2
101;0;46;1;0;1;2
102;0;46;1;0;1;2
103;0;46;1;0;1;2
104;0;46;1;0;1;2
105;0;46;1;0;1;2
106;0;46;1;0;1;2
107;0;46;1;0;1;2
108;0;46;1;0;1;2
109;0;46;1;0;1;2
110;0;46;1;0;1;2
111;0;46;1;0;1;2
112;0;46;1;0;1;2
113;0;46;1;0;1;2
114;0;46;1;0;1;2
115;0;46;1;0;1;2
116;0;46;1;0;1;2
117;0;47;0;0;1;2
118;0;47;0;0;1;2
119;0;47;0;0;1;2
120;0;47;0;0;1;2
121;0;47;0;0;1;2
122;0;47;0;0;1;2
123;0;47;0;0;1;2
124;0;47;0;0;1;2
125;0;47;0;0;1;2
126;0;47;0;0;1;2
127;0;46;0;1;0;3
128;0;46;0;1;0;3
129;0;46;0;1;0;3
130;0;46;0;1;0;3
131;0;46;0;1;0;3
132;0;46;0;1;0;3
